ts,p0,p1,p2,p3
6.2441460,-1.5815136,209.3643324,193.6142761,164.6892592
6.2780540,-2.1586768,209.2643885,193.5908273,164.9851619
6.3109660,-2.6084709,209.5270423,193.8049332,164.6046617
6.3428790,-2.8949332,209.0422408,192.9211656,164.3261803
6.3727990,-3.0297211,209.2783940,193.0022183,164.2229370
6.4186750,-3.0132653,209.3753887,193.3520657,163.7927588
6.4525830,-2.8441649,208.7466373,193.1382580,163.8619625
6.4835000,-2.5604377,208.7697427,192.8318545,163.9929015
6.5204000,-2.2098867,209.0498421,192.9273793,163.6416328
6.5503190,-1.8316635,208.8428571,192.4421978,163.1986813
6.5822330,-1.4583998,209.1520390,192.6655585,163.9457004
6.6171390,-1.1147864,208.8198318,191.9818504,163.0230190
6.6450640,-0.8186641,208.3194414,192.2502771,163.1338949
6.6769780,-0.5673996,208.5123691,192.0309784,162.5219523
6.7098880,-0.3545006,208.9515663,191.8891357,162.8800267
6.7408050,-0.1669281,208.9595078,192.3724832,162.7051454
6.7727190,0.0361330,209.0408665,193.0837427,163.1612327
6.8195920,0.2704526,209.0305531,192.4529438,162.9968778
6.8505090,0.5009379,208.5516856,192.4371511,162.8957357
6.8864120,0.7070730,208.8589629,192.8075548,163.0140814
6.9173280,0.8921599,209.0922905,192.6377654,163.5153073
6.9492420,1.0452062,208.8378738,192.5599114,162.9464009
6.9871400,1.1677333,209.1090708,193.2265487,163.5154867
7.0130980,1.2771677,208.7963872,193.0914362,163.2832293
7.0489730,1.3553597,209.0876380,192.4384106,163.3565121
7.0768970,1.3688242,209.3340684,192.4732084,163.4659316
7.1098090,1.3235649,208.7695739,192.6732099,163.5795226
7.1387310,1.2469882,208.6818985,192.6801325,163.3295806
7.1736360,1.1539442,208.6520963,192.5914362,163.2379572
7.2225040,1.0552613,208.8200873,192.8580786,163.1168122
7.2534210,0.9670482,209.0424391,192.9374581,162.9727496
7.2863320,0.8962967,209.4210060,192.9565699,162.6926656
7.3172490,0.8204767,208.7840230,192.0818765,162.9798628
7.3491620,0.7075662,208.3652404,192.1537274,161.9060432
7.3800790,0.5778787,209.9257603,192.9709302,163.5161002
7.4159820,0.4908262,209.8868221,193.4937248,163.5629762
7.4449040,0.4713391,210.1291546,193.4838278,163.5639081
7.4758210,0.5019224,210.0333114,193.6701731,163.9504712
7.5137180,0.5604407,209.7228514,193.8703087,163.7204086
7.5406450,0.6525842,210.8998897,195.1206174,165.5058434
7.5705650,0.7967712,211.2606140,195.3474853,166.2965382
7.6204300,0.9935443,212.2004410,196.5444322,167.4385888
7.6533410,1.2367386,212.4158696,197.0913043,167.7617391
7.6852550,1.5113823,212.3836806,198.0184462,168.5251736
7.7211580,1.7910315,213.1620985,198.5323340,169.5385439
7.7481160,2.0494149,213.5353472,199.4015104,170.4856304
7.7850220,2.2751123,214.1456676,200.4342821,171.5272080
7.8119490,2.4630628,214.5670855,201.0008107,172.3210377
7.8448600,2.5874784,214.8003247,201.2690747,172.6343344
7.8787690,2.6186753,214.9182887,201.7818329,173.1429440
